"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/category/skull";"Skulls";"Crânes";"Teschi";"Schädel";"Calaveras";"Черепа";"Czaszki";"Lebky";"Kafatasları";"骷\t髅";"髑髏";"Crânios";"Черепа";"Lobanje";"Koponyák";"해골";"Чарапы";"Cranii";"骷\t髏";"骷\t髅";"Đầu lâu";;
"attachables/category/camouflage";"Camouflage";"Camouflage";"Mimetizzazione";"Tarnmaterial";"Camuflaje";"Маскировка";"Kamuflaż";"Maskování";"Kamuflaj";"伪\t装";"迷彩";"Camuflagem";"Камуфляж";"Kamuflaža";"Álcázás";"위장물";"Камуфляж";"Camuflaje";"偽\t裝";"伪\t装";"Ngụy trang";;
"attachables/category/thunderLeague";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Ліга Грому";"Thunder liga";"Thunder League";"썬더 리그";"Ліга Грому";"Liga Thunder";"雷\t霆\t聯\t賽";"雷\t霆\t联\t赛";"Giải đấu Sấm sét";;
"attachables/category/roadSign";"Road Signs";"Panneaux de signalisation";"Segnali Stradali";"Verkehrszeichen";"Señales de Tráfico";"Дорожные знаки";"Znaki drogowe";"Dopravní značky";"Yol İşaretleri";"路\t标";"道路標識";"Sinais de trânsito";"Дорожні знаки";"Znaci na putu";"Közúti jelzőtáblák";"도로 표지판";"Дарожныя знакі";"Semne de circulație";"路\t標";"路\t标";"Biển báo giao thông";;
"attachables/category/roundels";"Roundels and Insignias";"Cocardes et Insignes";"Stemmi e Coccarde";"Abzeichen und Insignien";"Escarapelas e Insignias";"Опознавательные знаки";"Znaki rozpoznawcze i insygnia";"Označení";"Madalyonlar ve Nişanlar";"圆\t徽\t与\t徽\t标";"ラウンデルと\t記章";"Roundelas e Insígnias";"Розпізнавальні знаки";"Kružići i Oznake";"Felségjelek";"식별표지 및 휘장";"Апазнавальныя знакі";"Medalioane și insigne";"圓\t徽\t與\t徽\t標";"圆\t徽\t与\t徽\t标";"Phù hiệu tròn và Quân hiệu";;
"attachables/category/other";"Other";"Autres";"Altro";"Anderes";"Otros";"Прочее";"Inne";"Vybavení";"Diğer";"其\t他";"その\t他";"Outro";"Інше";"Ostalo";"Egyéb";"기타";"Іншае";"Altele";"其\t他";"其\t他";"Khác";;
"attachables/category/weapons";"Weapons";"Armes";"Armi";"Bewaffnung";"Armas";"Оружие";"Uzbrojenie";"Zbraně";"Silahlar";"武\t器";"武器";"Armas";"Зброя";"Weapons";"Fegyverek";"무기류";"Зброя";"Arme";"武\t器";"武\t器";"Vũ khí";;
"attachables/category/helmet";"Helmets";"Casques";"Elmetti";"Helme";"Cascos";"Шлемы";"Hełmy";"Helmy";"Kasklar";"头\t盔";"ヘルメット";"Capacetes";"Шоломи";"Helmets";"Sisakok";"헬멧";"Шлемы";"Căști";"頭\t盔";"头\t盔";"Nón bảo hiểm";;
"attachables/category/machine_gun";"Machineguns";"Mitrailleuses";"Mitragliatrici";"Maschinenpistolen";"Ametralladoras";"Пулеметы";"Karabiny maszynowe";"Kulomety";"Makineli tüfekler";"机\t枪";"機関銃";"Metralhadoras";"Кулемети";"Machineguns";"Géppuskák";"기관총";"Пулеметы";"Machineguns";"機\t槍";"机\t枪";"Súng máy";;
"attachables/category/rifle";"Rifles";"Fusils";"Fucili";"Gewehre";"Rifles";"Винтовки";"Karabiny";"Pušky";"Tüfekler";"步\t枪";"ライフル";"Espingardas";"Гвинтівки";"Rifles";"Puskák";"소총";"Винтовки";"Rifles";"步\t槍";"步\t枪";"Súng trường";;
